Date;StockPrice;Sentiment Score;EPS;Revenue;Expense
44930.9583333333;229.1;0;2.23;51865;31331
44931;229.1;0;2.23;51865;31331
44931.0416666667;229.1;0;2.23;51865;31331
44931.0833333333;229.1;0;2.23;51865;31331
44931.125;229.1;0;2.23;51865;31331
44931.1666666667;229.1;0;2.23;51865;31331
44931.2083333333;229.1;0;2.23;51865;31331
44931.25;229.1;0;2.23;51865;31331
44931.2916666667;229.1;9;2.23;51865;31331
44931.3333333333;229.1;9;2.23;51865;31331
44931.375;229.1;9;2.23;51865;31331
44931.4166666667;229.1;-21;2.23;51865;31331
44931.4583333333;229.1;-21;2.23;51865;31331
44931.5;229.1;5;2.23;51865;31331
44931.5416666667;229.1;5;2.23;51865;31331
44931.5833333333;229.1;5;2.23;51865;31331
44931.625;229.1;-15;2.23;51865;31331
44931.6666666667;225.065;-15;2.23;51865;31331
44931.7083333333;224.16;10;2.23;51865;31331
44931.75;223.08;10;2.23;51865;31331
44931.7916666667;222.25;10;2.23;51865;31331
44931.8333333333;223.6109;-4;2.23;51865;31331
44931.875;224.29;-3;2.23;51865;31331
44931.9166666667;222.31;-3;2.23;51865;31331
44931.9583333333;222.31;-3;2.23;51865;31331
44932;222.31;-3;2.23;51865;31331
44932.0416666667;222.31;-3;2.23;51865;31331
44932.0833333333;222.31;-3;2.23;51865;31331
44932.125;222.31;-3;2.23;51865;31331
44932.1666666667;222.31;-3;2.23;51865;31331
44932.2083333333;222.31;-3;2.23;51865;31331
44932.25;222.31;-3;2.23;51865;31331
44932.2916666667;222.31;-6;2.23;51865;31331
44932.3333333333;222.31;-6;2.23;51865;31331
44932.375;222.31;-6;2.23;51865;31331
44932.4166666667;222.31;1;2.23;51865;31331
44932.4583333333;222.31;-5;2.23;51865;31331
44932.5;222.31;4;2.23;51865;31331
44932.5416666667;222.31;-2;2.23;51865;31331
44932.5833333333;222.31;-24;2.23;51865;31331
44932.625;222.31;-24;2.23;51865;31331
44932.6666666667;220.83;-6;2.23;51865;31331
44932.7083333333;222.97;0;2.23;51865;31331
44932.75;222.99;0;2.23;51865;31331
44932.7916666667;222.32;0;2.23;51865;31331
44932.8333333333;224.11;0;2.23;51865;31331
44932.875;225.48;0;2.23;51865;31331
44932.9166666667;224.93;-3;2.23;51865;31331
44932.9583333333;224.93;-10;2.23;51865;31331
44933;224.93;-10;2.23;51865;31331
44933.0416666667;224.93;-10;2.23;51865;31331
44933.0833333333;224.93;-10;2.23;51865;31331
44933.125;224.93;-10;2.23;51865;31331
44933.1666666667;224.93;-10;2.23;51865;31331
44933.2083333333;224.93;-10;2.23;51865;31331
44933.25;224.93;-10;2.23;51865;31331
44933.2916666667;224.93;-10;2.23;51865;31331
44933.3333333333;224.93;-10;2.23;51865;31331
44933.375;224.93;-10;2.23;51865;31331
44933.4166666667;224.93;-5;2.23;51865;31331
44933.4583333333;224.93;-5;2.23;51865;31331
44933.5;224.93;-5;2.23;51865;31331
44933.5416666667;224.93;-5;2.23;51865;31331
44933.5833333333;224.93;-5;2.23;51865;31331
44933.625;224.93;-5;2.23;51865;31331
44933.6666666667;224.93;-5;2.23;51865;31331
44933.7083333333;224.93;-5;2.23;51865;31331
44933.75;224.93;-5;2.23;51865;31331
44933.7916666667;224.93;-5;2.23;51865;31331
44933.8333333333;224.93;-5;2.23;51865;31331
44933.875;224.93;-5;2.23;51865;31331
44933.9166666667;224.93;-5;2.23;51865;31331
44933.9583333333;224.93;-5;2.23;51865;31331
44934;224.93;-5;2.23;51865;31331
44934.0416666667;224.93;-5;2.23;51865;31331
44934.0833333333;224.93;-5;2.23;51865;31331
